product_type,firm_size,firm_platform,account_team_rank,industry_type,procurement_locus,tech_savvy,industry_position,deal_size,meeting_count,internal_champion_score,bargaining_power_score,geography,ceo_education,firm_age_years,outcome
CRM,small,Oracle,average,tech,LOB_driven,tech_savvy,leader,30000,2,4,4,ROW,bsc,11,SALE
CRM,medium,IBM,average,tech,procurement_driven,naive,leader,30000,1,5,3,Europe,high_school,8,NO SALE
ERP,medium,Oracle,average,tech,centralized,unknown,follower,121733,1,3,3,US,mba,32,NO SALE
CRM,small,Oracle,high,tech,LOB_driven,naive,follower,30000,2,5,3,US,high_school,5,NO SALE
DSC,medium,IBM,average,tech,procurement_driven,tech_savvy,follower,150000,1,3,4,ROW,mba,17,NO SALE
ERP,medium,SAP,average,automotive,centralized,unknown,follower,30000,3,4,3,Europe,other_graduate,13,NO SALE
CRM,medium,IBM,average,healthcare,centralized,unknown,follower,66582,2,4,4,US,some_university,16,NO SALE
ERP,small,SAP,average,healthcare,procurement_driven,tech_savvy,leader,47724,2,2,5,US,bsc,3,NO SALE
CRM,large,Oracle,average,traditional_manufacturing,LOB_driven,naive,leader,35317,2,4,4,US,mba,41,NO SALE
ERP,medium,IBM,average,tech,centralized,unknown,follower,111959,2,2,3,Europe,bsc,24,NO SALE
CRM,small,SAP,average,traditional_manufacturing,LOB_driven,unknown,follower,30000,1,4,4,ROW,bsc,9,NO SALE
ERP,medium,SAP,average,healthcare,procurement_driven,naive,follower,147962,3,3,4,ROW,bsc,29,SALE
DSC,small,SAP,average,traditional_manufacturing,centralized,naive,follower,72271,2,2,4,US,mba,4,NO SALE
DSC,medium,Oracle,average,traditional_manufacturing,LOB_driven,tech_savvy,follower,70004,3,2,3,ROW,some_university,18,NO SALE
CRM,medium,IBM,average,tech,procurement_driven,unknown,leader,35787,4,3,3,Europe,high_school,41,NO SALE
CRM,medium,IBM,average,automotive,centralized,unknown,follower,41408,2,3,3,ROW,some_university,26,NO SALE
DSC,medium,Oracle,average,traditional_manufacturing,procurement_driven,unknown,follower,150000,1,4,3,Europe,high_school,18,NO SALE
ERP,medium,Oracle,high,tech,centralized,unknown,leader,150000,1,5,4,ROW,some_university,13,SALE
ERP,medium,SAP,low,traditional_manufacturing,centralized,naive,leader,144589,1,1,4,Europe,high_school,12,NO SALE
ERP,medium,IBM,average,traditional_manufacturing,centralized,unknown,follower,150000,3,4,1,ROW,bsc,38,NO SALE
CRM,small,Oracle,average,traditional_manufacturing,centralized,unknown,follower,30000,1,4,3,US,bsc,5,NO SALE
CRM,medium,SAP,low,healthcare,LOB_driven,unknown,leader,96285,2,3,4,US,bsc,7,NO SALE
ERP,medium,Oracle,average,tech,procurement_driven,naive,follower,89627,1,4,4,Europe,some_university,56,NO SALE
DSC,medium,IBM,average,traditional_manufacturing,LOB_driven,naive,follower,38497,4,3,4,Europe,bsc,27,NO SALE
DSC,small,Oracle,average,tech,procurement_driven,tech_savvy,follower,30000,4,4,2,ROW,bsc,9,NO SALE
DSC,large,SAP,average,automotive,LOB_driven,naive,follower,115764,3,5,4,ROW,bsc,11,NO SALE
DSC,large,SAP,average,automotive,LOB_driven,unknown,follower,145876,1,3,4,US,high_school,31,NO SALE
CRM,medium,SAP,high,tech,LOB_driven,naive,follower,30000,1,4,4,ROW,bsc,12,NO SALE
ERP,medium,SAP,average,tech,centralized,unknown,leader,101685,1,3,4,US,bsc,18,NO SALE
CRM,large,Oracle,average,tech,LOB_driven,tech_savvy,leader,30000,1,3,4,ROW,mba,44,NO SALE
ERP,medium,Oracle,average,healthcare,centralized,naive,leader,150000,3,2,3,US,mba,13,NO SALE
ERP,medium,IBM,low,traditional_manufacturing,centralized,unknown,follower,150000,3,2,2,US,bsc,13,NO SALE
ERP,small,IBM,average,tech,LOB_driven,tech_savvy,follower,150000,4,4,3,ROW,mba,35,NO SALE
CRM,large,Oracle,low,healthcare,centralized,unknown,leader,73587,1,4,4,US,bsc,12,NO SALE
ERP,small,SAP,average,tech,centralized,unknown,follower,150000,3,3,3,Europe,some_university,19,NO SALE
DSC,medium,Oracle,low,tech,procurement_driven,tech_savvy,leader,34405,2,2,5,Europe,mba,27,NO SALE
ERP,large,IBM,average,traditional_manufacturing,LOB_driven,unknown,follower,95492,1,3,4,ROW,bsc,24,NO SALE
ERP,medium,IBM,low,traditional_manufacturing,procurement_driven,unknown,follower,93463,3,2,4,Europe,bsc,31,NO SALE
CRM,small,IBM,high,traditional_manufacturing,LOB_driven,unknown,leader,71315,5,6,2,ROW,mba,4,NO SALE
ERP,medium,Oracle,high,healthcare,procurement_driven,naive,leader,116020,1,6,4,US,bsc,14,NO SALE
ERP,medium,IBM,average,traditional_manufacturing,centralized,unknown,follower,61469,4,1,3,Europe,mba,22,NO SALE
ERP,large,IBM,low,automotive,centralized,tech_savvy,follower,98540,3,4,6,ROW,mba,46,NO SALE
ERP,large,IBM,average,traditional_manufacturing,centralized,unknown,follower,150000,1,2,4,US,bsc,49,NO SALE
CRM,small,SAP,average,traditional_manufacturing,centralized,unknown,follower,146510,1,4,5,ROW,high_school,5,NO SALE
CRM,small,IBM,average,healthcare,LOB_driven,unknown,leader,30000,2,5,4,Europe,some_university,10,NO SALE
CRM,medium,SAP,average,traditional_manufacturing,procurement_driven,naive,follower,53060,3,1,4,Europe,bsc,17,NO SALE
DSC,medium,Oracle,average,traditional_manufacturing,centralized,unknown,follower,118288,1,3,4,Europe,other_graduate,33,NO SALE
CRM,small,SAP,average,traditional_manufacturing,LOB_driven,unknown,follower,30000,4,4,3,US,bsc,7,NO SALE
CRM,medium,Oracle,average,tech,procurement_driven,naive,leader,61430,1,4,4,US,high_school,14,NO SALE
CRM,medium,SAP,average,tech,LOB_driven,tech_savvy,leader,150000,2,2,4,ROW,other_graduate,16,NO SALE
ERP,medium,SAP,average,tech,procurement_driven,tech_savvy,leader,150000,2,4,4,ROW,bsc,11,SALE
ERP,large,IBM,average,tech,LOB_driven,tech_savvy,follower,41202,3,5,6,ROW,mba,72,NO SALE
CRM,medium,SAP,low,tech,LOB_driven,unknown,follower,90199,1,4,3,Europe,mba,20,NO SALE
ERP,medium,SAP,high,automotive,centralized,naive,follower,57169,1,4,3,Europe,bsc,15,NO SALE
CRM,small,IBM,average,healthcare,LOB_driven,unknown,leader,57688,4,2,3,Europe,high_school,7,NO SALE
ERP,large,SAP,high,tech,centralized,tech_savvy,follower,58690,2,6,3,Europe,other_graduate,26,NO SALE
CRM,large,Oracle,low,tech,centralized,naive,follower,92713,2,1,4,ROW,other_graduate,62,NO SALE
ERP,large,Oracle,average,traditional_manufacturing,centralized,naive,follower,34778,2,4,2,US,mba,20,NO SALE
DSC,small,Oracle,high,traditional_manufacturing,procurement_driven,unknown,follower,84965,5,6,5,Europe,bsc,11,NO SALE
CRM,small,SAP,low,healthcare,procurement_driven,unknown,follower,38814,1,2,4,Europe,other_graduate,9,NO SALE
CRM,small,Oracle,average,tech,LOB_driven,naive,leader,67370,2,3,2,Europe,bsc,12,NO SALE
ERP,medium,SAP,average,traditional_manufacturing,LOB_driven,naive,follower,150000,3,4,2,US,mba,22,NO SALE
CRM,medium,Oracle,average,tech,LOB_driven,unknown,follower,72988,4,4,4,US,bsc,18,SALE
CRM,medium,Oracle,average,traditional_manufacturing,procurement_driven,unknown,leader,32649,4,2,3,Europe,other_graduate,19,NO SALE
DSC,medium,Oracle,average,automotive,procurement_driven,unknown,follower,77379,3,3,4,US,high_school,9,NO SALE
ERP,medium,SAP,high,healthcare,LOB_driven,naive,follower,150000,1,4,3,ROW,bsc,27,NO SALE
ERP,large,SAP,low,automotive,centralized,unknown,leader,150000,4,3,2,US,mba,20,NO SALE
ERP,large,IBM,average,traditional_manufacturing,LOB_driven,unknown,leader,30000,2,3,4,US,some_university,32,NO SALE
DSC,small,IBM,average,automotive,procurement_driven,unknown,follower,87305,3,4,4,US,high_school,15,NO SALE
DSC,medium,SAP,average,automotive,procurement_driven,unknown,leader,48700,2,4,4,Europe,high_school,31,NO SALE
DSC,small,IBM,average,automotive,LOB_driven,unknown,leader,30000,2,3,4,Europe,bsc,10,NO SALE
ERP,medium,IBM,average,tech,LOB_driven,unknown,leader,135733,2,3,3,ROW,bsc,7,NO SALE
ERP,medium,Oracle,high,tech,procurement_driven,naive,follower,30000,5,5,4,ROW,bsc,11,NO SALE
DSC,small,SAP,average,automotive,procurement_driven,naive,follower,69056,5,3,2,ROW,bsc,2,NO SALE
DSC,small,Oracle,average,healthcare,procurement_driven,naive,follower,49433,1,2,3,Europe,some_university,7,NO SALE
CRM,medium,SAP,high,tech,LOB_driven,naive,follower,44158,4,4,5,US,bsc,27,NO SALE
CRM,large,Oracle,average,tech,LOB_driven,naive,follower,30000,2,3,3,ROW,bsc,55,NO SALE
CRM,medium,Oracle,low,tech,LOB_driven,tech_savvy,follower,94120,2,3,2,Europe,bsc,37,NO SALE
CRM,medium,Oracle,average,traditional_manufacturing,centralized,tech_savvy,follower,30000,2,3,2,Europe,other_graduate,41,NO SALE
CRM,medium,SAP,high,tech,LOB_driven,unknown,leader,30000,1,6,3,ROW,bsc,48,NO SALE
CRM,small,SAP,high,automotive,LOB_driven,unknown,follower,53327,1,3,5,ROW,bsc,13,SALE
ERP,large,IBM,high,tech,procurement_driven,unknown,leader,100842,4,5,3,US,bsc,34,NO SALE
CRM,large,SAP,average,tech,centralized,unknown,follower,150000,3,3,5,US,bsc,28,NO SALE
CRM,small,SAP,high,traditional_manufacturing,centralized,unknown,follower,30000,4,4,3,Europe,bsc,3,NO SALE
ERP,large,IBM,average,traditional_manufacturing,procurement_driven,unknown,follower,150000,4,4,3,ROW,bsc,26,NO SALE
ERP,medium,Oracle,average,tech,LOB_driven,unknown,follower,73498,2,2,3,US,bsc,10,NO SALE
ERP,medium,IBM,average,automotive,centralized,naive,follower,150000,4,3,4,Europe,mba,16,SALE
DSC,medium,SAP,average,healthcare,procurement_driven,naive,follower,30000,2,3,2,Europe,high_school,44,NO SALE
ERP,large,IBM,average,healthcare,procurement_driven,unknown,leader,84824,2,3,4,Europe,mba,71,NO SALE
CRM,medium,IBM,low,tech,LOB_driven,naive,leader,68598,4,3,2,ROW,mba,28,NO SALE
CRM,medium,Oracle,high,automotive,centralized,unknown,follower,34262,2,4,1,US,bsc,25,NO SALE
ERP,small,Oracle,average,tech,centralized,unknown,follower,150000,1,4,3,ROW,bsc,7,NO SALE
ERP,large,Oracle,low,tech,LOB_driven,unknown,follower,77955,1,1,4,ROW,other_graduate,41,SALE
CRM,small,IBM,average,tech,centralized,unknown,follower,33607,2,1,4,US,mba,9,NO SALE
CRM,medium,Oracle,average,tech,centralized,tech_savvy,follower,30000,2,4,5,ROW,some_university,15,NO SALE
CRM,medium,SAP,average,automotive,centralized,unknown,follower,139991,3,3,4,ROW,mba,15,NO SALE
ERP,medium,SAP,high,traditional_manufacturing,centralized,unknown,follower,120708,1,5,3,US,mba,25,NO SALE
CRM,large,SAP,high,traditional_manufacturing,LOB_driven,naive,follower,30000,4,5,2,Europe,mba,19,NO SALE
DSC,small,IBM,high,automotive,LOB_driven,naive,follower,150000,2,4,3,US,bsc,12,NO SALE
CRM,small,SAP,high,tech,LOB_driven,unknown,follower,67725,3,3,3,Europe,high_school,8,NO SALE
ERP,medium,Oracle,high,traditional_manufacturing,procurement_driven,naive,follower,42137,1,6,2,Europe,some_university,28,NO SALE
CRM,medium,Oracle,high,traditional_manufacturing,LOB_driven,naive,follower,150000,2,4,6,Europe,bsc,11,NO SALE
CRM,large,Oracle,average,tech,LOB_driven,naive,follower,150000,3,4,4,Europe,mba,22,NO SALE
CRM,medium,IBM,high,healthcare,LOB_driven,unknown,follower,53347,2,5,3,Europe,other_graduate,9,NO SALE
CRM,medium,IBM,low,traditional_manufacturing,centralized,unknown,leader,30000,6,2,3,US,bsc,27,NO SALE
CRM,small,Oracle,average,automotive,centralized,unknown,leader,30000,1,4,2,Europe,bsc,3,NO SALE
CRM,small,Oracle,average,tech,centralized,tech_savvy,leader,85334,1,3,3,Europe,bsc,7,NO SALE
ERP,medium,IBM,low,traditional_manufacturing,procurement_driven,unknown,leader,150000,2,1,5,US,mba,29,NO SALE
ERP,medium,Oracle,average,tech,LOB_driven,naive,follower,30000,1,2,2,Europe,bsc,14,NO SALE
ERP,large,Oracle,average,traditional_manufacturing,LOB_driven,unknown,follower,150000,2,3,5,US,mba,46,NO SALE
ERP,large,SAP,average,tech,LOB_driven,tech_savvy,follower,150000,4,3,5,Europe,mba,26,NO SALE
CRM,small,IBM,high,healthcare,procurement_driven,naive,follower,49781,3,2,3,Europe,bsc,6,NO SALE
DSC,small,Oracle,average,traditional_manufacturing,procurement_driven,unknown,follower,150000,3,3,5,ROW,bsc,12,NO SALE
CRM,large,SAP,average,traditional_manufacturing,centralized,tech_savvy,leader,54709,2,1,6,US,bsc,59,NO SALE
ERP,large,Oracle,high,tech,centralized,naive,follower,150000,1,4,3,US,mba,28,NO SALE
CRM,large,SAP,average,traditional_manufacturing,LOB_driven,unknown,follower,97678,2,4,3,US,mba,29,NO SALE
CRM,small,SAP,average,tech,centralized,unknown,leader,72311,3,3,5,Europe,some_university,9,NO SALE
ERP,medium,Oracle,high,healthcare,procurement_driven,tech_savvy,leader,46345,4,6,3,Europe,other_graduate,26,NO SALE
ERP,large,IBM,low,traditional_manufacturing,centralized,naive,leader,150000,2,3,2,US,bsc,26,SALE
ERP,medium,IBM,low,traditional_manufacturing,centralized,naive,follower,44169,3,2,4,Europe,bsc,24,NO SALE
DSC,medium,SAP,average,tech,centralized,unknown,follower,121188,3,4,4,US,bsc,10,NO SALE
ERP,large,IBM,high,tech,centralized,unknown,follower,106322,3,5,5,US,mba,24,NO SALE
DSC,medium,Oracle,average,automotive,LOB_driven,unknown,leader,45877,4,4,4,Europe,bsc,43,NO SALE
ERP,large,IBM,low,traditional_manufacturing,procurement_driven,unknown,leader,150000,5,3,3,ROW,mba,60,NO SALE
CRM,small,SAP,average,tech,centralized,tech_savvy,follower,49445,1,4,2,Europe,bsc,18,NO SALE
CRM,small,SAP,average,healthcare,LOB_driven,naive,leader,30000,1,4,2,Europe,bsc,4,NO SALE
CRM,small,IBM,average,traditional_manufacturing,LOB_driven,unknown,follower,30000,5,4,4,US,high_school,4,NO SALE
ERP,large,SAP,high,healthcare,LOB_driven,naive,follower,95549,3,4,3,ROW,bsc,35,NO SALE
ERP,large,SAP,average,traditional_manufacturing,procurement_driven,unknown,leader,150000,1,4,4,ROW,bsc,31,NO SALE
CRM,medium,Oracle,average,healthcare,LOB_driven,naive,follower,30000,3,4,5,Europe,bsc,36,NO SALE
ERP,small,SAP,average,traditional_manufacturing,procurement_driven,naive,follower,81105,3,4,4,US,mba,11,NO SALE
CRM,medium,Oracle,high,healthcare,LOB_driven,unknown,follower,103317,3,3,4,US,bsc,46,NO SALE
ERP,large,IBM,average,tech,LOB_driven,naive,leader,48423,1,3,5,US,bsc,22,NO SALE
ERP,large,Oracle,average,healthcare,centralized,naive,follower,49536,1,1,5,US,mba,44,NO SALE
ERP,large,IBM,average,traditional_manufacturing,centralized,unknown,follower,150000,2,2,4,US,mba,20,SALE
ERP,large,IBM,high,tech,LOB_driven,unknown,follower,48044,3,3,3,ROW,mba,40,NO SALE
CRM,small,IBM,average,tech,procurement_driven,tech_savvy,follower,32267,3,2,6,US,bsc,7,SALE
ERP,small,Oracle,average,healthcare,centralized,unknown,follower,150000,2,4,5,Europe,mba,5,NO SALE
CRM,medium,SAP,low,tech,centralized,tech_savvy,leader,51791,1,2,5,Europe,high_school,13,NO SALE
CRM,medium,SAP,low,healthcare,LOB_driven,unknown,follower,83200,1,3,3,US,some_university,33,NO SALE
DSC,medium,Oracle,average,tech,procurement_driven,naive,follower,150000,2,4,1,Europe,mba,20,SALE
CRM,medium,SAP,average,healthcare,LOB_driven,unknown,follower,38393,3,3,4,Europe,bsc,25,NO SALE
CRM,medium,SAP,average,healthcare,LOB_driven,tech_savvy,leader,150000,2,3,4,US,bsc,33,NO SALE
CRM,small,Oracle,high,traditional_manufacturing,procurement_driven,unknown,leader,134566,2,5,3,US,mba,16,SALE
ERP,large,Oracle,low,tech,procurement_driven,unknown,follower,150000,3,4,4,ROW,some_university,70,NO SALE
DSC,large,IBM,average,tech,centralized,unknown,follower,85701,3,4,4,US,bsc,44,NO SALE
CRM,medium,IBM,high,automotive,LOB_driven,unknown,leader,118287,2,4,2,Europe,high_school,14,SALE
ERP,small,IBM,high,traditional_manufacturing,centralized,unknown,follower,150000,1,4,3,ROW,bsc,6,NO SALE
CRM,small,SAP,low,traditional_manufacturing,LOB_driven,unknown,follower,72036,2,2,3,Europe,high_school,11,SALE
CRM,medium,Oracle,average,healthcare,LOB_driven,unknown,follower,46415,1,3,3,ROW,bsc,16,NO SALE
CRM,medium,Oracle,high,traditional_manufacturing,centralized,tech_savvy,leader,59655,1,4,4,Europe,mba,24,NO SALE
CRM,medium,SAP,average,automotive,centralized,unknown,follower,84794,4,4,3,US,bsc,34,NO SALE
ERP,large,Oracle,average,traditional_manufacturing,centralized,unknown,follower,150000,3,5,3,US,bsc,35,NO SALE
CRM,medium,Oracle,low,tech,procurement_driven,unknown,follower,30000,1,3,5,Europe,bsc,32,NO SALE
DSC,medium,Oracle,average,traditional_manufacturing,centralized,unknown,leader,149928,1,4,4,US,mba,22,NO SALE
DSC,small,Oracle,average,traditional_manufacturing,procurement_driven,unknown,follower,150000,2,3,4,ROW,bsc,11,NO SALE
CRM,small,IBM,low,healthcare,centralized,unknown,follower,30000,4,1,2,Europe,mba,13,NO SALE
ERP,medium,IBM,high,traditional_manufacturing,centralized,unknown,leader,150000,5,4,4,ROW,bsc,46,NO SALE
DSC,small,Oracle,average,tech,LOB_driven,unknown,leader,32478,4,4,6,Europe,high_school,5,NO SALE
CRM,large,SAP,average,tech,LOB_driven,naive,leader,92763,3,3,4,Europe,bsc,34,NO SALE
ERP,small,Oracle,average,traditional_manufacturing,centralized,naive,follower,130689,3,2,4,Europe,mba,7,NO SALE
CRM,large,Oracle,high,healthcare,LOB_driven,naive,follower,40636,1,6,3,US,high_school,38,NO SALE
CRM,small,SAP,high,healthcare,LOB_driven,unknown,follower,82252,1,3,5,ROW,bsc,3,NO SALE
DSC,medium,SAP,high,automotive,procurement_driven,unknown,follower,37429,1,3,3,Europe,mba,10,NO SALE
ERP,small,IBM,low,traditional_manufacturing,centralized,naive,leader,62191,2,1,2,ROW,bsc,9,NO SALE
CRM,small,SAP,average,tech,LOB_driven,tech_savvy,leader,99299,2,3,4,Europe,mba,7,NO SALE
CRM,medium,SAP,average,traditional_manufacturing,LOB_driven,unknown,follower,79835,1,3,3,US,other_graduate,18,NO SALE
CRM,small,Oracle,average,healthcare,LOB_driven,naive,follower,127828,2,3,5,Europe,high_school,5,NO SALE
CRM,medium,SAP,high,tech,procurement_driven,tech_savvy,follower,111915,1,6,4,US,bsc,34,SALE
ERP,small,Oracle,average,tech,procurement_driven,tech_savvy,follower,43833,3,1,4,ROW,bsc,6,NO SALE
ERP,small,SAP,average,tech,LOB_driven,tech_savvy,follower,61180,2,4,4,ROW,bsc,13,NO SALE
CRM,large,SAP,low,healthcare,LOB_driven,naive,follower,43280,4,2,3,US,other_graduate,75,NO SALE
DSC,medium,SAP,low,traditional_manufacturing,centralized,unknown,follower,30000,1,3,4,Europe,bsc,26,NO SALE
CRM,small,IBM,high,tech,centralized,unknown,leader,68922,1,3,1,ROW,high_school,6,NO SALE
CRM,small,SAP,average,tech,LOB_driven,tech_savvy,follower,64866,2,3,4,US,mba,13,NO SALE
CRM,large,IBM,low,tech,LOB_driven,naive,follower,55674,4,1,3,US,other_graduate,41,NO SALE
ERP,large,IBM,low,tech,LOB_driven,naive,follower,37559,2,2,3,US,mba,32,SALE
CRM,small,SAP,high,traditional_manufacturing,centralized,unknown,leader,30000,1,4,4,ROW,high_school,3,NO SALE
ERP,small,Oracle,low,healthcare,procurement_driven,naive,follower,32521,2,3,5,ROW,bsc,5,NO SALE
ERP,large,Oracle,high,healthcare,centralized,tech_savvy,leader,96583,1,5,4,US,bsc,34,NO SALE
ERP,medium,SAP,high,tech,centralized,naive,follower,140193,2,5,4,Europe,high_school,20,SALE
ERP,small,SAP,average,healthcare,centralized,unknown,leader,59991,3,3,2,ROW,mba,10,NO SALE
ERP,large,Oracle,low,traditional_manufacturing,centralized,unknown,leader,98143,2,1,4,US,high_school,32,NO SALE
CRM,large,SAP,average,tech,LOB_driven,unknown,leader,72736,1,4,5,Europe,mba,33,NO SALE
CRM,medium,Oracle,high,tech,centralized,tech_savvy,follower,81241,3,5,3,US,mba,34,NO SALE
CRM,medium,IBM,average,healthcare,LOB_driven,naive,follower,85747,1,4,4,Europe,bsc,18,NO SALE
ERP,medium,Oracle,high,automotive,procurement_driven,naive,follower,74795,1,3,3,Europe,bsc,51,NO SALE
ERP,small,IBM,average,tech,centralized,naive,follower,120751,4,3,4,Europe,bsc,3,NO SALE
CRM,small,SAP,average,traditional_manufacturing,LOB_driven,unknown,follower,30000,2,3,2,Europe,some_university,5,NO SALE
CRM,small,SAP,average,tech,LOB_driven,unknown,follower,31298,3,4,6,US,bsc,10,SALE
CRM,large,Oracle,low,automotive,centralized,naive,follower,32518,2,1,4,Europe,mba,41,NO SALE
DSC,medium,Oracle,average,traditional_manufacturing,procurement_driven,unknown,leader,47236,1,3,4,ROW,bsc,74,NO SALE
ERP,large,IBM,low,tech,centralized,unknown,follower,99885,3,2,5,Europe,bsc,32,NO SALE
ERP,large,Oracle,low,healthcare,LOB_driven,unknown,follower,129205,2,3,3,ROW,mba,26,NO SALE
CRM,small,SAP,high,tech,centralized,unknown,follower,63742,1,6,4,Europe,some_university,4,NO SALE
ERP,large,SAP,average,traditional_manufacturing,centralized,unknown,follower,102293,1,4,4,US,bsc,23,NO SALE
CRM,medium,Oracle,average,tech,centralized,unknown,leader,57261,1,3,4,Europe,bsc,20,NO SALE
CRM,large,IBM,average,traditional_manufacturing,LOB_driven,unknown,leader,150000,4,3,3,US,bsc,39,NO SALE
DSC,medium,Oracle,average,automotive,LOB_driven,unknown,follower,77630,1,3,2,ROW,bsc,21,NO SALE
CRM,medium,Oracle,high,traditional_manufacturing,LOB_driven,naive,follower,47253,3,5,1,Europe,bsc,14,NO SALE
ERP,small,Oracle,average,traditional_manufacturing,procurement_driven,unknown,follower,109806,4,2,4,Europe,other_graduate,10,NO SALE
CRM,small,Oracle,high,tech,LOB_driven,naive,follower,150000,1,4,5,ROW,high_school,6,NO SALE
ERP,large,SAP,average,tech,centralized,naive,follower,150000,2,4,2,US,mba,28,NO SALE
ERP,medium,Oracle,high,tech,centralized,naive,leader,30000,1,5,3,US,bsc,42,SALE
ERP,medium,IBM,average,automotive,centralized,unknown,follower,74128,1,2,4,US,bsc,14,NO SALE
CRM,small,IBM,low,traditional_manufacturing,centralized,unknown,follower,107661,2,2,1,ROW,bsc,4,NO SALE
ERP,medium,Oracle,high,automotive,procurement_driven,naive,follower,150000,1,5,3,US,mba,18,NO SALE
ERP,large,Oracle,low,tech,LOB_driven,naive,follower,44185,2,1,4,US,bsc,28,NO SALE
CRM,large,SAP,average,healthcare,centralized,unknown,follower,30000,1,5,6,US,mba,35,NO SALE
CRM,small,SAP,average,healthcare,LOB_driven,tech_savvy,follower,74873,4,4,4,ROW,some_university,16,NO SALE
ERP,medium,SAP,average,automotive,centralized,naive,follower,150000,1,3,5,Europe,mba,9,NO SALE
CRM,medium,SAP,average,tech,procurement_driven,unknown,leader,30000,4,3,3,Europe,high_school,17,NO SALE
ERP,small,SAP,average,tech,centralized,tech_savvy,leader,150000,2,3,4,Europe,high_school,10,NO SALE
CRM,small,IBM,average,tech,LOB_driven,naive,leader,62424,2,2,3,Europe,mba,15,NO SALE
DSC,small,Oracle,high,automotive,procurement_driven,tech_savvy,follower,30000,4,2,4,Europe,bsc,7,NO SALE
DSC,small,IBM,average,tech,LOB_driven,tech_savvy,leader,68716,4,5,3,Europe,some_university,6,NO SALE
ERP,large,IBM,average,tech,procurement_driven,naive,follower,96633,4,5,3,US,bsc,39,NO SALE
ERP,medium,IBM,low,automotive,procurement_driven,unknown,leader,56880,3,2,3,Europe,bsc,10,NO SALE
